CIG,OGGETTO,AMMINISTRAZIONE APPALTANTE,RUP,DATA PUBBLICAZIONE,DATA AGGIUDICAZIONE,VALORE A BASE D’ASTA,VALORE AGGIUDICAZIONE,TIPOLOGIA CONTRATTO,LOCALIZZAZIONE
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B972722D7B&next=dettaglio_cig"" target=""_blank"">B972722D7B</a></span>",LOTTO N. 8 – UOG OVEST,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=01349670156&next=dettaglio_sa"" target=""_blank"">AZIENDA LOMBARDA EDILIZIA RESIDENZIALE MILANO - ALER</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B972722D7B&next=dettaglio_rup"" target=""_blank"">ILARIA GEPPERT</a></span>",2025-12-08,,500000.0,,LAVORI,Milano
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B66287A67B&next=dettaglio_cig"" target=""_blank"">B66287A67B</a></span>","LAVORI DI SFALCIO ERBA, RIPRISTINO IMPIANTO ELETTRICO POMPA PERCOLATO, SERVIZIO INGRESSO AUTOSPURGO E ATTIVAZIONE MENSILE POMPA PERCOLATO ","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00363460718&next=dettaglio_sa"" target=""_blank"">COMUNE DI FOGGIA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B66287A67B&next=dettaglio_rup"" target=""_blank"">SAVERIO PIO LONGO</a></span>",2025-04-08,2025-04-07,58308.0,58308.0,LAVORI,Foggia
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B77DA2EDF7&next=dettaglio_cig"" target=""_blank"">B77DA2EDF7</a></span>","AFFIDAMENTO DIRETTO AI SENSI DELL'ART. 50, COMMA 1 LETTERA B) DEL D.LGS. N. 36/2023 DELLO SVILUPPO E DELLA RIVISITAZIONE DEL LAYOUT DELLA DASHBOARD, EVOLUZIONE DEI REPORT E DELLE RELATIVE FUNZIONALITÀ","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=07207761003&next=dettaglio_sa"" target=""_blank"">SPORT E SALUTE S.P.A.</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B77DA2EDF7&next=dettaglio_rup"" target=""_blank"">GIUSEPPE DI GREGORIO</a></span>",2025-07-02,2025-07-01,40000.0,40000.0,SERVIZI,Roma
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B575178C20&next=dettaglio_cig"" target=""_blank"">B575178C20</a></span>","SERVIZIO DI PRIMO SOCCORSO VETERINARIO SU ANIMALI FERITI O AMMALATI RINVENUTI SUL TERRITORIO DELL'ATS DELLA MONTAGNA, AREA TERRITORIALE VALLECAMONICA - SEBINO","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00988200143&next=dettaglio_sa"" target=""_blank"">AGENZIA DI TUTELA DELLA SALUTE DELLA MONTAGNA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B575178C20&next=dettaglio_rup"" target=""_blank"">LAURA CUSINI</a></span>",2025-02-03,2024-12-11,59855.0,59855.0,SERVIZI,Sondrio
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B691983319&next=dettaglio_cig"" target=""_blank"">B691983319</a></span>",SPORTELLO UNICO IMPIANTO FOTOVOLTAICO,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00196900674&next=dettaglio_sa"" target=""_blank"">COMUNE DI SANT'EGIDIO ALLA VIBRATA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B691983319&next=dettaglio_rup"" target=""_blank"">STEFANO LO PARCO</a></span>",2025-04-22,2025-04-18,67343.42,67343.42,FORNITURE,Teramo
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5BDFCE9CA&next=dettaglio_cig"" target=""_blank"">B5BDFCE9CA</a></span>","CITTÀ METROPOLITANA DI BARI LAVORI DI MANUTENZIONE ORDINARIA NEGLI ISTITUTI SCOLASTICI DI CORATO, RUVO E BITONTO","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=80000110728&next=dettaglio_sa"" target=""_blank"">CITTA' METROPOLITANA DI BARI</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5BDFCE9CA&next=dettaglio_rup"" target=""_blank"">GIOACCHINO DE PINTO</a></span>",2025-02-24,2025-02-21,133440.0,133440.0,LAVORI,Bari
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6C50A36BD&next=dettaglio_cig"" target=""_blank"">B6C50A36BD</a></span>",INCARICO PROFESSIONALE DI PROGETTAZIONE ESECUTIVA E COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE NELL#AMBITO DEGLI INTERVENTI DI MIGLIORAMENTO GEOMORFOLOGICO DEI COSTONI TUFACEI PROSPICIENTI LE SPALLE EST ED OVEST DEL VIADOTTO FONTANELLE,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=01513210581&next=dettaglio_sa"" target=""_blank"">TANGENZIALE DI NAPOLI S.P.A.=</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6C50A36BD&next=dettaglio_rup"" target=""_blank"">ANIELLO NAZARIA</a></span>",2025-05-09,2025-05-08,101000.0,101000.0,SERVIZI,Napoli
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6039ABA30&next=dettaglio_cig"" target=""_blank"">B6039ABA30</a></span>",LOTTO 18 - DEFIBRILLATORE TRICAMERALE CON ALGORITMI ED ELETTROCATETERI DEDICATI,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=03510190121&next=dettaglio_sa"" target=""_blank"">AZIENDA SOCIO SANITARIA TERRITORIALE (ASST) DELLA VALLE OLONA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6039ABA30&next=dettaglio_rup"" target=""_blank"">PAOLO PELLICCIA</a></span>",2025-03-12,2025-03-11,270000.0,270000.0,FORNITURE,Varese
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B8A1DFD766&next=dettaglio_cig"" target=""_blank"">B8A1DFD766</a></span>",FORNITURA E INSTALLAZIONE IMPIANTO GAS PRG ACCORDO DI PROGRAMMA,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=80029030568&next=dettaglio_sa"" target=""_blank"">UNIVERSITA' DEGLI STUDI DELLA TUSCIA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B8A1DFD766&next=dettaglio_rup"" target=""_blank"">GIUSEPPE RAPITI</a></span>",2025-10-15,2025-10-14,45400.0,45400.0,FORNITURE,Viterbo
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6D55FA0D9&next=dettaglio_cig"" target=""_blank"">B6D55FA0D9</a></span>",RIQUALIFICAZIONE EDIFICIO ADIBITO A PALESTRA SCUOLA MEDIA . IMPIANTO FOTOVOLTAICO,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=85000450768&next=dettaglio_sa"" target=""_blank"">AMMINISTRAZIONE COMUNALE DI RAPOLLA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6D55FA0D9&next=dettaglio_rup"" target=""_blank"">MICHELE FANELLA</a></span>",2025-05-14,2025-05-29,49717.4,49717.4,FORNITURE,Potenza
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6797C827F&next=dettaglio_cig"" target=""_blank"">B6797C827F</a></span>",IMPEGNO DI SPESA PER RETTE DI RICOVERO ANZIANI ANNO 2025 C/O COOP. SOCIALE DIVERSAMENTE INSIEME ,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=80002230854&next=dettaglio_sa"" target=""_blank"">COMUNE DI SOMMATINO</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6797C827F&next=dettaglio_rup"" target=""_blank"">GIUSEPPE RUSSO</a></span>",2025-04-11,,47000.0,,SERVIZI,Caltanissetta
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B674582D92&next=dettaglio_cig"" target=""_blank"">B674582D92</a></span>","EROGAZIONE DEL SERVIZIO DI ACCOGLIENZA RESIDENZIALE DI MINORI, DISPOSTI DALL'AUTORITÀ GIUDIZIARIA, NELLE STRUTTURE DI ACCOGLIENZA KAIROS SOC. COOP. SOCIALE. ","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00297960197&next=dettaglio_sa"" target=""_blank"">COMUNE DI CREMONA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B674582D92&next=dettaglio_rup"" target=""_blank"">EUGENIA GROSSI</a></span>",2025-04-10,,106865.0,,SERVIZI,Cremona
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6A862F2E8&next=dettaglio_cig"" target=""_blank"">B6A862F2E8</a></span>",PRESTAZIONI RESID.REL.-2025,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=03510140126&next=dettaglio_sa"" target=""_blank"">ATS DELL'INSUBRIA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6A862F2E8&next=dettaglio_rup"" target=""_blank"">ANNA MARIA SIANO</a></span>",2025-04-29,,256000.0,,SERVIZI,Varese
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B66645C134&next=dettaglio_cig"" target=""_blank"">B66645C134</a></span>",RIPRISTINO DELL'IMPIANTO DI DEPURAZIONE LA BRECCIARA NEL COMUNE DI CIVITA CASTELLANA,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=01767320565&next=dettaglio_sa"" target=""_blank"">TALETE - GESTIONE SII ATO 1 - SOCIETA' PER AZIONI (IN FORMA ABBREVIATA TALETE S.P.A.)</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B66645C134&next=dettaglio_rup"" target=""_blank"">FABIO GIORGI</a></span>",2025-05-08,2025-04-08,90000.0,90000.0,SERVIZI,Viterbo
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B8BE477329&next=dettaglio_cig"" target=""_blank"">B8BE477329</a></span>",AFFIDAMENTO SERVIZI DI MEDIA E LUNGA PERCORRENZA INTERREGIONALI SALERNO-POTENZA-METAPONTO E VICEVERSA IN CONTINUITÀ CON I SERVIZI FERROVIARI AV DA/VERSO SALERNO PER IL PERIODO 28.10.2025-28.02.2026,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=80002950766&next=dettaglio_sa"" target=""_blank"">REGIONE BASILICATA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B8BE477329&next=dettaglio_rup"" target=""_blank"">DONATO ARCIERI</a></span>",2025-10-22,,1430000.0,,SERVIZI,Potenza
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6E9DE9F63&next=dettaglio_cig"" target=""_blank"">B6E9DE9F63</a></span>",AFFIDAMENTO INCARICO DI DIREZIONE DEI LAVORI E COORDINATORE DELLA SICUREZZA IN FASE DI ESECUZIONE DEI LAVORI DI ADEGUAMENTO DEGLI IMPIANTI ELETTRICI DI ALCUNI LOCALI DELL'HANGAR L OSPITANTE IL CENTRO DI SIMULAZIONE OPERAZIONI AERONAVALI DELLA GUARDIA DI FINANZA DI PRATICA DI MARE,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=97061500589&next=dettaglio_sa"" target=""_blank"">CENTRO DI AVIAZIONE GUARDIA DI FINANZA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6E9DE9F63&next=dettaglio_rup"" target=""_blank"">GIANMARCO COSIMO DI LORENZO</a></span>",2025-05-20,2025-05-19,48000.0,48000.0,SERVIZI,Roma
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6EDEAC0D4&next=dettaglio_cig"" target=""_blank"">B6EDEAC0D4</a></span>",ACQUISIZIONE PARTI DI RICAMBIO RELATIVE AL PINTLE MACHINE GUN (PMG) PER M-134D MARINIZED MINIGUN,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=80238390589&next=dettaglio_sa"" target=""_blank"">SEGRETARIATO GENERALE DELLA DIFESA -DIREZIONE NAZIONALE ARMAMENTI-DIREZIONE ARMAMENTI AERONAUTICI</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6EDEAC0D4&next=dettaglio_rup"" target=""_blank"">LORIS DE LUCA</a></span>",2025-05-20,,143146.5,,FORNITURE,Roma
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6B020FC77&next=dettaglio_cig"" target=""_blank"">B6B020FC77</a></span>",FORNITURA PRODOTTI PER IGIENE PERSONALE,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=03775820982&next=dettaglio_sa"" target=""_blank"">AZIENDA SOCIO SANITARIA TERRITORIALE DELLA FRANCIACORTA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6B020FC77&next=dettaglio_rup"" target=""_blank"">FRANCESCO MAZZOLI</a></span>",2025-04-30,2025-04-30,77502.25,77502.25,FORNITURE,Brescia
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5CD70E34F&next=dettaglio_cig"" target=""_blank"">B5CD70E34F</a></span>",SERVIZIO DI ASSISTENZA TECNICO-GESTIONALE,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00876220633&next=dettaglio_sa"" target=""_blank"">UNIVERSITA' DEGLI STUDI DI NAPOLI FEDERICO II</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5CD70E34F&next=dettaglio_rup"" target=""_blank"">CINZIA CANNIZZARO</a></span>",2025-02-26,,56000.0,,SERVIZI,Napoli
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6F0A6BA86&next=dettaglio_cig"" target=""_blank"">B6F0A6BA86</a></span>",GARA REGIONALE DI PRODOTTI FARMACEUTICI. D.D. N. 77 DEL 02/04/2025. LOTTO 67,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=05205490823&next=dettaglio_sa"" target=""_blank"">ISTITUTO G.GIGLIO DI CEFALU'</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6F0A6BA86&next=dettaglio_rup"" target=""_blank"">VINCENZO ACCARDI</a></span>",2025-05-20,2025-05-20,217085.22,217085.22,FORNITURE,Palermo
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6C3CB5470&next=dettaglio_cig"" target=""_blank"">B6C3CB5470</a></span>","MANUTENZIONE SOFTWARE GESTIONALE PER LA GESTIONE ED ELABORAZIONE DELLE RICETTE FARMACEUTICHE SSN, DPC E SPECIALISTICHE, PER IL PERIODO DI UN ANNO","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=01661590891&next=dettaglio_sa"" target=""_blank"">AZIENDA SANITARIA PROVINCIALE DI SIRACUSA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6C3CB5470&next=dettaglio_rup"" target=""_blank"">ROSARIO BRECI</a></span>",2025-05-09,,184993.3,,SERVIZI,Siracusa
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B64D7C7C1C&next=dettaglio_cig"" target=""_blank"">B64D7C7C1C</a></span>",RIFUNZIONALIZZAZIONE VAN CAVALLI,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00819910589&next=dettaglio_sa"" target=""_blank"">RAGGRUPPAMENTO CARABINIERI BIODIVERSITA'</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B64D7C7C1C&next=dettaglio_rup"" target=""_blank"">RAFFAELE PIO MANICONE</a></span>",2025-04-02,,214754.0,,FORNITURE,Roma
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5BFE614D7&next=dettaglio_cig"" target=""_blank"">B5BFE614D7</a></span>",AVVISO MANIFESTAZIONE DI INTERESSE INTERVENTO DI RIQUALIFICAZIONE DEL CENTRO ABITATO DI MANDAS ATTRAVERSO UNA STRATEGIA DI RIFUNZIONALIZZAZIONE URBANA AL FINE DI VALORIZZARE I MULTIFORMI ASPETTI SPAZIALI FORMALI CULTURALI,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=80012750925&next=dettaglio_sa"" target=""_blank"">COMUNE DI MANDAS</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5BFE614D7&next=dettaglio_rup"" target=""_blank"">NICOLA ZEDDA</a></span>",2025-02-24,,408441.99,,LAVORI,
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B71F659094&next=dettaglio_cig"" target=""_blank"">B71F659094</a></span>",AGGIORNAMENTO DOTAZIONI PER LA SICUREZZA E LA VIDEOSORVEGLIANZA PER ADEGUAMENTO AGLI STANDARD,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=80101180612&next=dettaglio_sa"" target=""_blank"">COMANDO 9 STORMO F. BARACCA GRAZZANISE</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B71F659094&next=dettaglio_rup"" target=""_blank"">ANTONINO SURACI</a></span>",2025-06-04,,484037.2,,SERVIZI,Caserta
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B744B39F1C&next=dettaglio_cig"" target=""_blank"">B744B39F1C</a></span>",FINESTRE UN'ANTA,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00222420762&next=dettaglio_sa"" target=""_blank"">COMUNE DI PESCOPAGANO</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B744B39F1C&next=dettaglio_rup"" target=""_blank"">MAURIZIO SCHETTINI</a></span>",2025-06-13,,89788.35,,FORNITURE,Potenza
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B69C39AFE7&next=dettaglio_cig"" target=""_blank"">B69C39AFE7</a></span>","AVVISO CSE 2025 - COMUNI PER LA SOSTENIBILITA' E L'EFFICIENZA ENERGETICA. INTERVENTO DI EFFICIENTAMENTO ENERGETICO PRESSO L'IMMOBILE UBICATO IN VIA F.LLI FARINA CON DESTINAZIONE D'USO PALAZZETTO DELLO SPORT (PALAZZETTO DELLO SPORT CINGOLANI - PIERINI) IDENTIFICATO AL CATASTO FABBRICATI DEL COMUNE DI RECANATI AL FOGLIO 62 PARTICELLA 633 MEDIANTE FORNITURA, CON POSA IN OPERA, DI NUOVO SISTEMA IBRIDO COSTITUITO DA UNA POMPA DI CALORE ARIA/ACQUA INTEGRATA CON UNA CALDAIA A CONDENSAZIONE E DI IMPIANTO FOTOVOLTAICO CUP H24J25000120006 - CATEGORIA: IMPIANTI FOTOVOLTAICI E SERVIZI CONNESSI - PRODOTTO: POC ENERGIA / CSE 2025 - IMPIANTO FOTOVOLTAICO CONNESSO IN RETE CODICI CPV 09331000-8, 09331200-0, CITTA' DI RECANATI _________________________ DETERMINAZIONE DIRIGENZIALE: NR. SETTORIALE 109 DEL 23/04/2025 09332000-5 - CATEGORIA: SISTEMI IBRIDI - PRODOTTO: POC ENERGIA/ CSE 2025 - SISTEMI IBRIDI CODICI C.P.V. 42511110-5; 42161000-5; 44621200-1","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00284570439&next=dettaglio_sa"" target=""_blank"">COMUNE DI RECANATI</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B69C39AFE7&next=dettaglio_rup"" target=""_blank"">MAURIZIO PADUANO</a></span>",2025-04-23,,51739.61,,FORNITURE,Macerata
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B80672B701&next=dettaglio_cig"" target=""_blank"">B80672B701</a></span>",FORNITURA DERRATE ALIMENTARI,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00535380182&next=dettaglio_sa"" target=""_blank"">ISTITUTO TECNICO AGRARIO STATALE'C.GALLINI'</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B80672B701&next=dettaglio_rup"" target=""_blank"">SILVANA BASSI</a></span>",2025-08-26,,75000.0,,FORNITURE,Pavia
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B387047A20&next=dettaglio_cig"" target=""_blank"">B387047A20</a></span>","SERVIZI DI COORDINAMENTO, PROMOZIONE, SAFETY E SQUADRA ANTICINCENDIO IN OCCASIONE DELLA MANIFESTAZIONE FIERA DEI SAPORI ORGANIZZATA DAL COMUNE DI CARLINO PER GLI ANNI 2024-2025-2026","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=81002550309&next=dettaglio_sa"" target=""_blank"">COMUNE DI CARLINO</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B387047A20&next=dettaglio_rup"" target=""_blank"">FLAVIA TOMBA</a></span>",2025-06-06,2024-10-16,45001.02,45001.02,SERVIZI,Udine
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5E141B6C8&next=dettaglio_cig"" target=""_blank"">B5E141B6C8</a></span>","SERVIZIO DI TESORERIA COMUNALE PERIODO 01/04/2025-31/03/2028, SALVO RINNOVO","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00100490861&next=dettaglio_sa"" target=""_blank"">COMUNE DI ENNA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5E141B6C8&next=dettaglio_rup"" target=""_blank"">LETTERIO LIPARI</a></span>",2025-03-03,,150000.0,,SERVIZI,Enna
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6D699F6E7&next=dettaglio_cig"" target=""_blank"">B6D699F6E7</a></span>",IMPIANTO SOLARE TERMICO,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00197250707&next=dettaglio_sa"" target=""_blank"">COMUNE DI SPINETE</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6D699F6E7&next=dettaglio_rup"" target=""_blank"">PASQUALE RUBERTO</a></span>",2025-05-13,,48000.0,,FORNITURE,Campobasso
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B72CF4FB46&next=dettaglio_cig"" target=""_blank"">B72CF4FB46</a></span>",INDIZIONEDIISTRUTTORIAPUBBLICA,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=01345790917&next=dettaglio_sa"" target=""_blank"">COMUNITA' MONTANA DEL GENNARGENTU MANDROLISAI</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B72CF4FB46&next=dettaglio_rup"" target=""_blank"">ALICE PORCU</a></span>",2025-06-06,,477409.45,,SERVIZI,Nuoro
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B7A3D70B00&next=dettaglio_cig"" target=""_blank"">B7A3D70B00</a></span>",INTERVENTO DI EFFICIENTAMENTO ENERGETICO VILLAGGIO SCOLASTICO P. DE STEFANO VIA LANZA - CASTIGLIONE COSENTINO (CS),"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00391420783&next=dettaglio_sa"" target=""_blank"">COMUNE DI CASTIGLIONE COSENTINO</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B7A3D70B00&next=dettaglio_rup"" target=""_blank"">FRANCESCO SAVERIO SMERIGLIO</a></span>",2025-07-14,2025-08-05,715471.24,710880.3,LAVORI,Cosenza
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5A3053824&next=dettaglio_cig"" target=""_blank"">B5A3053824</a></span>",FARMACI GENERICATI 2025,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00849050109&next=dettaglio_sa"" target=""_blank"">REGIONE LIGURIA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5A3053824&next=dettaglio_rup"" target=""_blank"">LUIGI MORENO COSTA</a></span>",2025-02-13,2025-04-02,1454204.832,347642.16,FORNITURE,Genova
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B687DD173B&next=dettaglio_cig"" target=""_blank"">B687DD173B</a></span>",FARMACI 2025,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00849050109&next=dettaglio_sa"" target=""_blank"">REGIONE LIGURIA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B687DD173B&next=dettaglio_rup"" target=""_blank"">LUIGI MORENO COSTA</a></span>",2025-04-16,,1637892.69,,FORNITURE,Genova
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B7B9A27FC1&next=dettaglio_cig"" target=""_blank"">B7B9A27FC1</a></span>",CATETERI PROTEZIONE CAROTIDEA LUNGHEZZA GUIDA DA 190 A 300 CM,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=01127900049&next=dettaglio_sa"" target=""_blank"">AZIENDA OSPEDALIERA SANTA CROCE E CARLE</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B7B9A27FC1&next=dettaglio_rup"" target=""_blank"">CLAUDIO CALVANO</a></span>",2025-07-22,,56654.4,,FORNITURE,Cuneo
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B73071FA1B&next=dettaglio_cig"" target=""_blank"">B73071FA1B</a></span>",ACQUISTO DEL FARMACO AIC 044373076 EMTRICITABINA TEN TEV 30CPR PER CARENZA DEL FARMACO AGGIUDICATO AIC045229010 EMTRICITABINA TEN MY 30CPR FL. RIF. OFFERTA N.0070/2025-CALI DEL 13/01/2025 (QUANTITÀ RICHIESTA: 64800 CP).,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=02483810392&next=dettaglio_sa"" target=""_blank"">AZIENDA USL DELLA ROMAGNA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B73071FA1B&next=dettaglio_rup"" target=""_blank"">MORRIS MONTALTI</a></span>",2025-06-09,2025-06-09,57672.0,57672.0,FORNITURE,Ravenna
