CIG,OGGETTO,AMMINISTRAZIONE APPALTANTE,RUP,DATA PUBBLICAZIONE,DATA AGGIUDICAZIONE,VALORE A BASE D’ASTA,VALORE AGGIUDICAZIONE,TIPOLOGIA CONTRATTO,LOCALIZZAZIONE
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5A14B7F6F&next=dettaglio_cig"" target=""_blank"">B5A14B7F6F</a></span>",LAVORI DI REALIZZAZIONE DI AREE PER LO SGAMBAMENTO DEI CANI,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=82002650230&next=dettaglio_sa"" target=""_blank"">COMUNE DI SAN PIETRO DI MORUBIO</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5A14B7F6F&next=dettaglio_rup"" target=""_blank"">CRISTINA TADDEI</a></span>",2025-02-14,2025-03-12,21901.44,21039.82,LAVORI,Verona
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6F8DD7E6D&next=dettaglio_cig"" target=""_blank"">B6F8DD7E6D</a></span>",PROROGA TECNICA FINO AL 30.06.2026 DELL'ACCORDO QUADRO PER LA FORNITURA DI ENERGIA ELETTRICA AI SOCI DEL CONSORZIO ENERGIA LIGURIA ED. 2023,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=95054110101&next=dettaglio_sa"" target=""_blank"">IN LIGURIA AGENZIA REGIONALE PROMOZIONE TURISTICA DELLA LIGURIA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6F8DD7E6D&next=dettaglio_rup"" target=""_blank"">LUIGI BARLOCCO</a></span>",2025-05-22,2025-05-22,15736.76,15736.76,SERVIZI,Genova
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B60719A29C&next=dettaglio_cig"" target=""_blank"">B60719A29C</a></span>",LAVORI DI MANUTENZIONE CENTRALI TERMICHE E IMPIANTI DI CLIMATIZZAZIONE CENTRALIZZATI (MAGGIO DICEMBRE 2025),"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=97010280580&next=dettaglio_sa"" target=""_blank"">DIVISIONE AEREA DI SPERIMENTAZIONE AERONAUTICA E SPAZIALE</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B60719A29C&next=dettaglio_rup"" target=""_blank"">ERMELINDA PEROZZIELLO</a></span>",2025-03-14,,38000.0,,LAVORI,Roma
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5DC2B5AB7&next=dettaglio_cig"" target=""_blank"">B5DC2B5AB7</a></span>",SERVIZIO DI CONDUZIONE DELLE ATTREZZATURE DA CUCINA - PERIODO 12 MESI DALLA STIPULA,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00439540584&next=dettaglio_sa"" target=""_blank"">CIRCOLO UFFICIALI DELLE FF.AA D'ITALIA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5DC2B5AB7&next=dettaglio_rup"" target=""_blank"">ORAZIO LEOTTA</a></span>",2025-03-03,2025-03-05,3700.0,,SERVIZI,Roma
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B75BEE668F&next=dettaglio_cig"" target=""_blank"">B75BEE668F</a></span>",SERVIZIO PRESCUOLA POST SCUOLA E DOPOSCUOLA AS 2025-2026,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00196480297&next=dettaglio_sa"" target=""_blank"">AMMINISTRAZIONE COMUNALE DI VILLADOSE</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B75BEE668F&next=dettaglio_rup"" target=""_blank"">CRISTINA DESTRO</a></span>",2025-06-20,,39900.0,,SERVIZI,Rovigo
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6F5CA44B7&next=dettaglio_cig"" target=""_blank"">B6F5CA44B7</a></span>",APPALTO BL24-AFF_S.R. 48 DELLE DOLOMITI - LAVORI DI SISTEMAZIONE MURO DI SOSTEGNO E CORDOLO ALLA PROGRESSIVA KM 88+005 IN LOC. RENAZ IN COMUNE DI LIVINALLONGO DEL COL DI LANA (BL). INTERVENTO DI MESSA IN SICUREZZA DEL PIANO VIARIO. ,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=03345230274&next=dettaglio_sa"" target=""_blank"">VENETO STRADE S.P.A.</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6F5CA44B7&next=dettaglio_rup"" target=""_blank"">ALESSANDRO ZAGO</a></span>",2025-05-22,2025-05-21,29298.66,29298.66,LAVORI,Belluno
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6FB28A76F&next=dettaglio_cig"" target=""_blank"">B6FB28A76F</a></span>",NOLEGGIO STAMPANTE MULTIFUNZIONALE LIOA 2025,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00754150100&next=dettaglio_sa"" target=""_blank"">UNIVERSITA' DEGLI STUDI DI GENOVA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6FB28A76F&next=dettaglio_rup"" target=""_blank"">DANIELA GATTI</a></span>",2025-05-22,2025-05-22,1925.76,1925.76,SERVIZI,Genova
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6C2238893&next=dettaglio_cig"" target=""_blank"">B6C2238893</a></span>",LOTTO 2,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=01128930045&next=dettaglio_sa"" target=""_blank"">AZIENDA SANITARIA LOCALE CN1</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6C2238893&next=dettaglio_rup"" target=""_blank"">MAURA ACCHIARDI</a></span>",2025-05-07,2025-04-21,2281.79,2281.79,FORNITURE,Cuneo
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B69CD93AB6&next=dettaglio_cig"" target=""_blank"">B69CD93AB6</a></span>",FORNITURA D UN SISTEMA DI RELAMPING AL SERVIZIO DEL POLO INFANZIA COMUNALE,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00441130358&next=dettaglio_sa"" target=""_blank"">COMUNE DI ALBINEA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B69CD93AB6&next=dettaglio_rup"" target=""_blank"">FABIO GARLASSI</a></span>",2025-04-24,,12148.5,,FORNITURE,Reggio nell'Emilia
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B81611EABE&next=dettaglio_cig"" target=""_blank"">B81611EABE</a></span>",FORNITURA DI UN PONTEGGIO MOBILE,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00355870221&next=dettaglio_sa"" target=""_blank"">COMUNE DI TRENTO</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B81611EABE&next=dettaglio_rup"" target=""_blank"">CLAUDIA PATTON</a></span>",2025-09-01,,3300.0,,FORNITURE,Trento
